frame,true_x,true_y,true_z,true_yaw,pred_x,pred_y,pred_z,pred_yaw,pos_error,yaw_error,true_pitch,true_roll,pred_pitch,pred_roll
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0082796588394535,0.0009970179763809,0.0001820823947807,0.0021440546119051,-6.181454736037163,-7.678020759899039,-2.132546757114983,2.007654984458995,10.080869846870277,2.0055109298470897,-0.000846045592148,-0.0016628805889531,-2.0106245188482257,2.168781023843724
2,-0.0154525990869325,-0.0016201105967727,-0.0006896704237618,0.0007260258290094001,-11.060660031034981,-14.059420973465995,-4.201350289445482,4.409999656088219,18.36474671622364,1.8739116769203763,-0.0005204158464139001,0.0011204355761048,-3.9206449299510187,4.407479421431934
3,-0.024819220365726598,0.0006366447670292999,0.0004700911042205,0.0026308866273159004,-16.785284752851414,-20.50248574760269,-6.215149946519027,5.261386568932171,27.201565490872706,1.024429624874731,-0.0025663743046036,-0.0019139656437385001,-5.869451755264928,6.510275658282931
4,-0.0334468360057783,0.0013909541128657998,0.0010079582718653,0.0024965273465707,-22.760357800848507,-29.020282508804833,-8.260145346774028,7.575834234692141,37.77587413312339,1.2901524001659839,-0.0038115037279036,-0.0024144851468938,-8.112423128844625,8.881355259739955
5,-0.0419741920179075,-0.0023441399392065,0.0004683864317052,0.0042130575483452,-27.119155549811698,-34.99395444586595,-10.272940871969617,8.31227404525903,45.421685128089436,2.0248756805310997,-0.0045933329081755,0.0009328281715909,-9.994686979294684,11.07027552918798
6,-0.049755995978318604,-0.0025907273335282,0.0005892901671244001,0.0033435386622567,-32.3706872515584,-42.60824364076693,-12.405886948905959,8.409539878710923,54.8981321183023,2.12301103286908,-0.0043704006947734,0.0014466170131226,-12.104648321691496,13.335721831790964
7,-0.058561051887673805,-0.0051829877739611,0.0004956827387020514,0.0049956639993875,-37.58610490734963,-49.94448698648666,-14.451157829290885,10.970079594262598,64.11786740785458,1.601286684095962,-0.0048782708917458,0.0033641722628094,-14.005107625327284,15.465419067058264
8,-0.0663699868190762,-0.0090951067202082,-0.00042560360672184864,0.0047890528657368,-43.8325315399094,-57.0812788706894,-16.507297440899222,12.254414327583653,73.79151627749812,0.3167453396412565,-0.0042026307562879,0.0073742325767136,-16.007803840923554,17.763785617892143
9,-0.0750861366621706,-0.0092633003732279,8.567079238405132e-05,0.007065793395520201,-47.57931001758205,-61.997720234626726,-18.3865753097011,11.730680236427617,80.23272014352972,0.8427561713270766,-0.0045414020709292,0.0067634524054601,-17.570409140257727,19.852232792951394
10,-0.08497111255108289,-0.0100587839516964,0.0008324903456524513,0.006016650211107801,-52.47669075836315,-68.04102257513999,-20.498042879400963,12.691130260244394,88.27971575185178,0.11874299567411484,-0.0054654796688291,0.0081567121781138,-19.440737484459927,21.833299873445167
11,-0.09306932600023458,-0.0037987275031509003,0.0030187581515710516,0.0058173167419584,-58.67163626754113,-77.40923735655655,-22.577007876396888,14.771116074427466,99.66397562358054,2.1989281433263344,-0.0051639812279611,0.0016758916845304,-21.625105666793043,24.101157588488974
12,-0.10157930520907438,-0.0016231458408183003,0.004293694795166251,0.004959529120597501,-63.59651113092636,-84.31239224235667,-24.603246326464678,15.74756403028052,108.37639585766082,3.106951420378836,-0.0049463658170570005,-0.0001939707762878,-23.706123156563102,26.38681355966096
13,-0.10948899661428657,-0.0004456434365983004,0.004954481549666851,0.005495170571887501,-69.37095984240457,-93.72809428064153,-26.7807402816024,17.992081397613298,119.58050387386045,0.8629696944973482,-0.004051119744261001,-0.0013043113132203,-25.938962181917866,28.70080271802055
14,-0.11808335107703608,0.0014850553344191997,0.006108641098953252,0.0045283440414203005,-74.66702362515942,-101.1115797680077,-28.8541315204297,20.05304651665804,128.89650823873856,1.1989622510778588,-0.004113918974414707,-0.002780977767218,-27.681800328646705,30.875908413014916
15,-0.12682993887005867,0.0023961932977492996,0.0070685001471337515,0.0037523324160036,-78.41297333958266,-106.25806538412027,-30.853400718511917,20.136703152761495,135.5447324819326,1.2833948988067334,-0.0040986395992665195,-0.0033652644894528,-29.525640877730478,33.108989048234044
16,-0.13410592104888436,0.0011206990115670997,0.006901284626277151,0.0037592063934108848,-84.24847715747778,-112.60430000174236,-32.86995673217126,21.2392209976293,144.3471371823848,2.3859058696971296,-0.00232002843577212,-0.0020882944931535,-31.390793243681003,35.26846505513288
17,-0.14100394278427475,-0.0005556554829314003,0.006643118733791451,0.004085669969735984,-88.10508483352028,-117.25106238395695,-34.801543359052154,21.112525849013057,150.65513831565187,2.258884257504562,-0.0008896540167644199,-0.0002555431202455,-33.128848336919376,37.51314672558632
18,-0.14891071983633294,0.0007299901785005997,0.0076851547930784515,0.0031825522942554845,-91.27040556847629,-121.30678646825093,-36.65962500512613,21.374416979334544,156.086937336622,2.52167850550153,-0.0010546859319976198,-0.000721237043108,-34.61447389831678,39.60539712347303
19,-0.15635389210653974,0.0010787911384143997,0.008022537776648951,0.0025086807765664844,-94.76535274584452,-125.76105705393661,-38.61679745660759,21.633012608952825,162.04583979855911,2.780948006637498,-0.00022254444461751975,-0.0008099786751744719,-36.3602756458011,41.74461849061616
20,-0.16456802884306085,0.004158688539525999,0.009277447755852751,0.0031386023601562845,-98.02528957103021,-128.709311789416,-40.5276245074591,22.15273703269398,166.6946871479824,2.9831427983845202,-0.00015981532982701878,-0.003959387144973772,-37.833170963403475,43.79750359943439
21,-0.17292492660731354,0.006101935903127799,0.010538276609564152,0.0023672419618714843,-102.35202164503868,-134.01392244063896,-42.48194086960484,23.09201182869619,173.80318041990762,2.0430966419840253,-0.0006345967057290187,-0.005085127930316872,-39.64288371941998,45.947042887740274
22,-0.17976734136884553,0.005643886210125599,0.010778589648335252,0.0018282564087442844,-106.31788741908863,-138.27914891603115,-44.48716117725454,24.21232210576841,179.91123115995336,0.9222473793586765,0.0002152337162538813,-0.004350410750958672,-41.1751442838084,48.011948124979504
23,-0.18636540182830905,0.006392258582202999,0.011285471349383252,0.0001182626040382845,-112.96186667626112,-148.37004936275017,-46.69894122994584,26.985367666851662,192.13465953438657,1.8525081755292803,0.0011004277468419812,-0.004578975815610472,-43.60638716767547,50.47362572232647
24,-0.19411369541934856,0.005774772087286699,0.011733403950770452,0.0010597089929698846,-118.74890787578471,-155.80893731950977,-48.84766879949105,29.267480355351026,201.79371871050338,2.149505889539874,0.0008666080271891813,-0.003953626208753573,-45.694192886355,52.739102452243
25,-0.20098349813577987,0.004205654463345899,0.011559233320720752,-0.0001367844618930154,-122.92130773604572,-159.93335112736347,-50.89365316758016,29.568557304314798,207.9221986705091,1.8472324471212396,0.0015305681881869811,-0.0016277943583840725,-47.436912526087056,54.8745638454446
26,-0.20802974740298477,0.003084059381811299,0.011266774444853252,0.0016271767289844847,-128.50089221197777,-166.26653798044586,-52.90227177633861,30.588966975304608,216.5744406308988,0.8285867373223077,0.002382764577466681,-0.0009505777804539726,-49.585010345884506,57.12887049805212
27,-0.21455819548210509,0.004365899456870299,0.011451545246713251,0.0004107314114590846,-133.58910256456198,-172.96312743769963,-54.87835787312706,32.75679411536223,225.20971119155658,1.3404568480528454,0.003241078336336881,-0.0011686886994147726,-51.490272330732104,59.31250885378067
28,-0.22230146793330088,0.003952536952669699,0.011738256755093851,0.0012112249839076846,-140.04909088146468,-181.11856353533744,-57.04148642405843,35.216606833045766,235.82189744070087,2.4837162350156525,0.0029996261446115814,-0.0006637504005988726,-53.67640348980955,61.56764278485671
29,-0.22923997545250668,0.004640458947623199,0.01190751209607045,0.0014370424494649847,-145.30784539240247,-186.82513462061598,-59.09222122049948,36.8571872056716,243.8164568671414,0.8433616798553807,0.004118903773930682,-0.0013165076877253725,-55.526277896701394,63.7002593199244
30,-0.23591384560317738,0.007106293407889999,0.01227038552150295,0.0015651468097188847,-149.3468524690529,-192.63224473699572,-61.03640489078094,37.43877556386212,251.13926880432834,0.26190142602510846,0.005542651949979882,-0.0037297350435581723,-57.26150215405412,65.91095827394034
31,-0.24474389226964127,0.005146763185630999,0.012330384466378911,0.0002954553978589847,-153.01719030227915,-196.6068826967553,-62.990034399504644,38.258167556362245,256.8365403886847,0.5587602578868704,0.004684886252512882,-0.0015753126010517723,-58.868496471039506,67.92125739125544
32,-0.2544474970509903,0.005670347244081299,0.01311186529256301,0.002263762513861985,-156.57240545736676,-200.26803074442358,-64.9880502310395,37.115207475344654,262.24036760901504,0.5861681302467225,0.003275856285814282,-0.0030720100318338724,-60.53636838777379,69.95253202688069
33,-0.26199384275314247,0.0091027615629217,0.014044001259634011,0.001867193222016985,-162.79982238199077,-209.0349127904294,-67.09311507484031,38.88996845621308,273.1690263254917,1.1889894199135504,0.003707489865785982,-0.006198762509422072,-62.79743263192013,72.38133147668218
