frame,true_x,true_y,true_z,true_yaw,pred_x,pred_y,pred_z,pred_yaw,pos_error,yaw_error,true_pitch,true_roll,pred_pitch,pred_roll
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0089210914190971,-0.0005818184869854,1.952757544765316e-05,0.003032619142449,-3.326599438014948,-4.135830551597392,-1.5515416661299017,-0.6238865155195579,5.524003424507861,0.6269191346620069,-0.0012638058495567,-0.000542157889362,-1.5798262176385482,1.5293412698071873
2,-0.0160940316665761,-0.003198947060139,-0.0008522252430948468,0.0016145903595532998,-5.510940216393195,-6.289860936045702,-3.117968007762579,-2.167647241769669,8.912455574037532,2.169261832129222,-0.0009381761038226,0.0022411582756959,-3.03733525338049,3.0689973032257223
3,-0.0232809002439383,-0.0065293880089981,-0.0017691771644926467,0.0031578841371096,-7.766116882257036,-8.35257143453259,-4.666701604028942,-3.4115521647024627,12.303232153946697,2.8684752583400144,-0.0009937799533859012,0.0050291668914335,-4.4275558311819445,4.548515473706025
4,-0.0312214722981006,-0.005035766642658699,-0.0011311232387874468,0.0004930489021505,-10.313616414008525,-10.844670760401847,-6.221203272077101,-4.314065266577366,16.183776755504105,1.96862699170007,-0.0016078300935850013,0.0044691365718421,-5.864402616533248,6.112506468764495
5,-0.0401157565428089,-0.0044087507572125,-0.00044978474401924677,0.001868228196694,-12.425710443483243,-11.956255690858082,-7.738096847709241,-5.596325212299335,18.871162738415986,0.684991866683557,-0.0026191443000905014,0.003338436069885,-7.111922808991444,7.586131691486468
6,-0.047884607471465696,-0.004443293672709149,-0.0002748402007693468,0.0006254310245249,-14.370875450598435,-13.30546601606782,-9.214087067550468,-7.02061711738083,21.60924820336952,0.7380572412257678,-0.0024347830777991016,0.0035650042707602,-8.36168370952475,9.057572271368631
7,-0.0565484035722372,-0.002498128139256049,0.0008101675468097532,0.0012508124970694,-17.29199166742785,-16.0771939925264,-10.799119496575138,-7.342777831117032,25.924791848424018,1.060843336434516,-0.0029943769929979018,0.0011591363018584,-9.684370668036122,10.626724714776254
8,-0.0646209413554378,0.00012150620192545114,0.001754165754188353,0.0008123135948947999,-19.558275921116998,-17.137215118694932,-12.323365203338845,-8.817739789679685,28.733246571304925,2.535366796094994,-0.002741788768894402,-0.0012689761719847999,-10.906610818323571,12.080301495417707
9,-0.0732632648425202,0.002041739149179351,0.002905274889206653,0.0020877399360928,-21.30311942416131,-17.888113201089606,-13.792549975270346,-10.50650773737895,31.001274520417233,2.05777513704413,-0.0032048095990045017,-0.0036096789103886,-12.074094903331094,13.521876614529724
